"gamma i of the SFR fission products (solid ONLY) calculated with EFR",,,,,,,,,,,,,,,,,,,,,
"PF","U238","U236","U235","U234","U233","th232","pu242","pu241","pu240","pu239","pu238","np238","np237","cm245","cm244","cm243","am243","am242m","am241",,
"Cs134",0.001436905,0.001014018,0.001525625,0.001161282,0.001251124,0.0009955002,0.001407983,0.00146644,0.001478702,0.001508851,0.001561282,0.00086875,0.001040255,0.0005202134,0.000608001,0.0006350967,0.0008325642,0.0009061539,0.001225585,,
"Cs135",0.01945479,0.01868578,0.01885749,0.02382609,0.01786298,0.01616495,0.01992846,0.02123665,0.02265585,0.02206845,0.02323322,0.0266113,0.02295885,0.01827239,0.01849963,0.02083894,0.02052929,0.02172969,0.02064951,,
"Cs136",0.00003766509,0.00003644016,0.00003769957,0.00005810271,0.00005271861,0.00003129466,0.00003900604,0.0000426746,0.00004943777,0.00005796063,0.000077984,0.00005670784,0.00005492219,0.00007299767,0.0001094937,0.0002505493,0.00004817582,0.00006594336,0.00007340962,,
"Cs137",0.03613457,0.03694493,0.03501958,0.03674376,0.03802529,0.03794979,0.03597891,0.0375953,0.03917921,0.03715003,0.03829651,0.03559681,0.03798448,0.03676592,0.03758445,0.03971336,0.03792842,0.03766306,0.03659597,,
"Dy160",0.000005423704,0.000001119081,0.000002288501,0.0000005033135,0.000001400104,0.00000006156024,0.00003164779,0.00002320563,0.00002100433,0.00001947339,0.00000717209,0.000004353782,0.000005449293,0.00002656788,0.00003854021,0.00002700804,0.00002698553,0.00002080935,0.00005773042,,
"Dy161",0.000006935065,0.000002244921,0.000001920799,0.0000009374052,0.000002793545,0.00000003937204,0.00009370204,0.00006181202,0.00006565174,0.00003912227,0.0000129456,0.00001402593,0.00001578963,0.0002500784,0.0002276699,0.0001276638,0.0001320078,0.00008758368,0.0001997825,,
"Dy162",0.000004248956,0.000001151229,0.0000008893922,0.0000004396299,0.000001320185,0.00000001443061,0.00007268933,0.00004733574,0.00006457834,0.00002696941,0.000008498395,0.000008451124,0.000009079105,0.0001826126,0.0001647906,0.00008723424,0.00009766025,0.00006285953,0.0001549592,,
"Dy163",0.000001421933,0.0000003445061,0.0000001874621,0.0000001153028,0.0000002509864,0.000000002154403,0.00003186726,0.00001960901,0.00003519517,0.00001022579,0.000002894241,0.000003150821,0.000003175991,0.0001017106,0.00008595095,0.00004509865,0.00004769524,0.00002913873,0.00006719249,,
"Dy164",0.0000007355814,0.0000001446199,0.00000006939996,0.00000004342158,0.00000007951633,0.0000000005713888,0.0000205645,0.00001227515,0.00002499311,0.000005865282,0.000001547362,0.000001587095,0.000001516339,0.00006647204,0.00005474704,0.00002745896,0.00003040368,0.00001790055,0.00004291558,,
"Er164",3.210777E-021,1.002307E-017,4.738398E-020,1.133992E-017,0.000000000004179417,1.936985E-020,0.000000000001609972,0.00000000001045086,0.0000000002070444,0.0000000003512278,0.0000000005416077,0.000000000001412339,0.00000000001278766,0.00000000525907,0.00000002416844,0.00000005753106,0.0000000002884021,0.00000000123122,0.00000001588404,,
"Er166",0.0000001185482,0.00000001643005,0.000000005022996,0.000000003867013,0.000000004661054,0.00000000002236718,0.00000552329,0.000002995703,0.000007275983,0.000001204724,0.0000002657625,0.0000002751653,0.0000002329911,0.00002271725,0.00001706569,0.000008087713,0.000008926098,0.000004798654,0.00001132169,,
"Er167",0.0000000374167,0.000000004431618,0.0000000009985556,0.0000000009102255,0.0000000007426876,0.000000000002817472,0.000002334194,0.000001187868,0.000003060687,0.0000004370239,0.00000008645617,0.0000000947938,0.00000007497034,0.00001191055,0.000008379986,0.000003899574,0.000004138236,0.000002106853,0.000004742249,,
"Er168",0.00000001781706,0.000000001665438,0.0000000003353703,0.0000000003051497,0.0000000002628722,0.0000000000005114588,0.000001444492,0.0000007099547,0.000001841872,0.0000002373032,0.00000004355031,0.00000004392524,0.00000003275929,0.000007327962,0.000005030424,0.000002218061,0.000002499991,0.000001222644,0.000002912331,,
"Er170",0.000000001421248,0.00000000009475732,0.000000000008613416,0.0000000000126417,0.000000000003958771,2.590795E-020,0.0000002422523,0.0000001032147,0.000000238432,0.00000002783763,0.000000003928708,0.000000004490969,0.00000000286507,0.0000018899,0.000001132523,0.0000004660411,0.0000005047664,0.0000002186328,0.0000004785623,,
"Eu151",0.00002690142,0.00002018482,0.00001561466,0.000009705714,0.000009166817,0.00001219312,0.00003299204,0.00003186511,0.00002629736,0.00002682597,0.0000208607,0.00001712717,0.00001818843,0.00001931281,0.00001920182,0.00001547368,0.00002531877,0.00002425189,0.00003184826,,
"Eu152",0.000006813897,0.000003967572,0.000004123603,0.00000190519,0.000003337876,0.000004370468,0.000008367797,0.000008366058,0.000006625982,0.000006822745,0.000005466887,0.000003324367,0.000003539907,0.000002618389,0.00000307614,0.000002278614,0.000004916862,0.000004814249,0.000008078062,,
"Eu153",0.001858049,0.001558461,0.000812597,0.0006366661,0.0006083373,0.001077305,0.002437665,0.001998723,0.00247955,0.001845822,0.001356543,0.001539585,0.001534321,0.003832007,0.003344469,0.002850867,0.003105351,0.002721787,0.003158458,,
"Eu154",0.0003791922,0.0002293489,0.0001767499,0.00009362794,0.0001235241,0.0002162049,0.0004969364,0.0004297618,0.0005030996,0.0003775284,0.000293598,0.0002233721,0.0002231185,0.0003628512,0.0003860831,0.0002873252,0.0004514358,0.0004094875,0.0006499405,,
"Eu155",0.0006411129,0.0003695501,0.000248683,0.0001668988,0.0001680766,0.0001111529,0.001299393,0.0008514884,0.001164623,0.0008581377,0.0005210876,0.0005765737,0.0006879327,0.002213957,0.00266807,0.0015385,0.001620395,0.001333963,0.00197835,,
"Eu156",0.00001413196,0.00001033306,0.00000388122,0.000005011222,0.000004765639,0.00000191356,0.00003608966,0.00002064658,0.00003396135,0.00002482248,0.00001123814,0.00002143691,0.00002915246,0.0001630148,0.0001370764,0.0001082329,0.00007128037,0.00005408601,0.00005260604,,
